id,name,cost,capacity,pair
sir-abu-nuayr-cable,Sir Abu Nu鈥檃yr Cable,,,
sirius-north,Sirius North,10,,
sirius-south,Sirius South,10,0.48,
sistem-kabel-rakyat-1malaysia-skr1m,Sistem Kabel Rakyat 1Malaysia (SKR1M),100,6,
sjjk,SJJK,13.575,,
skagenfiber-west,Skagenfiber West,10,1920,48
skagerrak-4,Skagerrak 4,3.425,,
smpcs-packet-1,SMPCS Packet-1,71,40,
smpcs-packet-2,SMPCS Packet-2,,,
solas,Solas,5,0.005,
sorsogon-samar-submarine-fiber-optical-interconnection-project-sssfoip,Sorsogon-Samar Submarine Fiber Optical Interconnection Project (SSSFOIP),525,,24
south-america-1-sam-1,South America-1 (SAm-1),650,19.2,4
south-american-crossing-sac,South American Crossing (SAC),520,4.84,4
south-atlantic-cable-system-sacs,South Atlantic Cable System (SACS),130,40,4
south-atlantic-inter-link-sail,South Atlantic Inter Link (SAIL),487,32,4
south-pacific-cable-system-spscmistral,South Pacific Cable System (SPSC)/Mistral,182,108,6
southeast-asia-japan-cable-sjc,Southeast Asia Japan Cable (SJC),400,28,6
southeast-asia-japan-cable-2-sjc2,Southeast Asia-Japan Cable 2 (SJC2),265,144,8
southern-caribbean-fiber,Southern Caribbean Fiber,,,
southern-cross-cable-network-sccn,Southern Cross Cable Network (SCCN),130,22,3
southern-cross-next,Southern Cross NEXT,300,72,4
st-pierre-and-miquelon-cable,St. Pierre and Miquelon Cable,5,,
st-thomas-st-croix-system,St. Thomas-St. Croix System,4.575,,
strategic-evolution-underwater-link-seul,Strategic Evolution Underwater Link (SEUL),0.625,,8
s-u-b-cable-system,S-U-B Cable System,,,
subcan-link-1,Subcan Link 1,3.575,,
subcan-link-2,Subcan Link 2,3.4,,
sumatera-bangka-cable-system-sbcs,Sumatera Bangka Cable System (SBCS),1.425,,
suriname-guyana-submarine-cable-system-sg-scs,Suriname-Guyana Submarine Cable System (SG-SCS),54,1.28,2
svalbard-undersea-cable-system,Svalbard Undersea Cable System,80,4.8,
swansea-brean,Swansea-Brean,2.425,,
sweden-estonia-ee-s-1,Sweden-Estonia (EE-S 1),,,
sweden-finland-4-sfs-4,Sweden-Finland 4 (SFS-4),,,
sweden-finland-link-sfl,Sweden-Finland Link (SFL),,,
sweden-latvia,Sweden-Latvia,4.375,0.0025,34
taba-aqaba,Taba-Aqaba,0.325,,
taino-carib,Taino-Carib,,,
taiwan-strait-express-1-tse-1,Taiwan Strait Express-1 (TSE-1),10,6.4,8
tamares-north,Tamares North,8.625,,
tampnet-offshore-foc-network,Tampnet Offshore FOC Network,,,
tangerine,Tangerine,10,0.24,96
tanjun-pandan-sungai-kakap-cable-system,Tanjun Pandan-Sungai Kakap Cable System,8.7,,
tannat,Tannat,50,90,6
tannat,Tannat,10,90,
tarakan-selor-cable-system-tscs,Tarakan Selor Cable System (TSCS),2.075,,
tasman-global-access-tga-cable,Tasman Global Access (TGA) Cable,60,20,2
tata-tgn-atlantic,Tata TGN-Atlantic,340,50,4
tata-tgn-gulf,Tata TGN-Gulf,200,1.28,2
tata-tgn-intra-asia-tgn-ia,Tata TGN-Intra Asia (TGN-IA),180,3.84,
tata-tgn-pacific,Tata TGN-Pacific,580,76,8
tata-tgn-tata-indicom,Tata TGN-Tata Indicom,90,5.12,8
tata-tgn-western-europe,Tata TGN-Western Europe,100,3.84,
te-northtgn-eurasiaseacomalexandrosmedex,TE North/TGN-Eurasia/SEACOM/Alexandros/Medex,240.85,30,
telstra-endeavour,Telstra Endeavour,228.125,1.28,2
